epoch,train_loss,train_accuracy,val_clean_loss,val_clean_accuracy,selection_score,lr,seconds
1,1.820564826774597,0.3006,1.103206431657076,0.602,0.602,0.0001,20.502282275000198
2,0.9110075682163239,0.69,0.6843910330198705,0.785,0.785,0.0001,20.19964801499964
3,0.5851209314584732,0.8194,0.4484894981570542,0.866,0.866,0.0001,20.68769070799999
4,0.46516719307899473,0.8576,0.38962377890944483,0.887,0.887,0.0001,21.254156023000178
5,0.4108384476661682,0.8758,0.35579859181866047,0.9,0.9,0.0001,21.857522181999684
6,0.3776942395865917,0.887,0.4017633998058736,0.881,0.881,0.0001,22.593249089999972
7,0.3387175350919366,0.902,0.3330847003608942,0.9,0.9,0.0001,23.147978003999924
8,0.2088378809571266,0.9446,0.27439457483496515,0.932,0.932,2e-05,22.58188370500011
9,0.14196909807519986,0.9632,0.25646452950290405,0.936,0.936,2e-05,22.358298915999967
10,0.13709330693539232,0.9646,0.23746980491559952,0.943,0.943,2e-05,22.53456424800015
